"Team","Coefficient"
"Shkendija (MKD)",9
"Brøndby (DEN)",8.5
"Spartak Trnava (SVK)",8.5
"Alashkert (ARM)",8
"Riga FC (LVA)",8
"Kairat Almaty (KAZ)",8
"Osijek (CRO)",8
"Hajduk Split (CRO)",8
"Olimpija Ljubljana (SVN)",7.75
"KuPS Kuopio (FIN)",7.5
"Fola Esch (LUX)",7.5
"Universitatea Craiova (ROU)",7.5
"Dundee United (SCO)",7.38
"Motherwell (SCO)",7.38
"Neftci (AZE)",7
"Buducnost (MNE)",7
"Cukaricki (SRB)",6.675
"Radnicki Nis (SRB)",6.675
"Dinamo Tbilisi (GEO)",6.5
"DAC Dunajska Streda (SVK)",6.5
"Vaduz (LIE)",6.5
"Vorskla Poltava (UKR)",6.36
"Laci (ALB)",6
"Aris Thessaloniki (GRE)",5.64
"Panathinaikos (GRE)",5.64
"Mura (SVN)",5.5
