"Team","Country","Coefficient"
"Tottenham","Eng",88.0000000714286
"Roma","Ita",86.0000000666667
"Villarreal","Esp",55.00000004
"Copenhagen","Den",43.5000000277778
"CSKA","Rus",40.0000000263158
"Marseille","Fra",28.0000000175439
"Anderlecht","Bel",25.000000016129
"Astana","Kaz",22.500000015625
"Feyenoord","Ned",21.0000000147059
"Maccabi Tel-Aviv","Isr",20.5000000140845
"PAOK","Gre",20.0000000138889
"AEK Athens","Gre",19.5000000136986
"Partizan","Srb",18.0000000111111
"Brondby","Den",17.5000000108696
"BATE","Blr",17.5000000107527
"Molde","Nor",17.0000000106383
