"POT 1","...14","POT 3","...17"
"POT 1",NA,"POT 3",NA
"Villarreal (ESP)","78","Fiorentina (ITA)","15.323"
"Basel (SUI)","55","FC Koln (GER)","15.042"
"Slavia Praha (CZE)","52","Fenerbahce (TUR)","14.5"
"Young Boys (SUI)","37","NK Maribor (SVN)","14"
"AZ Alkmaar (NED)","28.5","Slovan Bratislava (SVK)","13"
"Istanbul Basaksehir (TUR)","25","HJK Helsinki (FIN)","8.5"
"Partizan Belgrade (SRB)","24.5","F91 Dudelange (LUX)","8.5"
"Maccabi Tel Aviv (ISR)","24.5","Zalgiris (LIT)","8"
"POT 2",NA,"POT 4",NA
"Malmo FF (SWE)","23.5","AEK Larnaca (CYP)","7.5"
"West Ham United (ENG)","21.323","Linfield (NIR)","7"
"Molde (NOR)","19","Shamrock Rovers (IRL)","7"
"Zorya Luhansk (UKR)","18","FC Zurich (SUI)","7"
"APOEL Nicosia (CYP)","18","Maccabi Haifa (ISR)","7"
"FCSB (ROU)","17.5","Slovacko (CZE)","5.56"
"Rapid Wien (AUT)","16","Shkupi (MKD)","4.5"
"Ferencvaros (HUN)","15.5","Pyunik (ARM)","4.25"
